beIN SPORTS 2;01/06/2012;;France;Sport;;beIN Media Group;Satellite,Câble,IPTV;Non;;
beIN SPORTS 3;17/09/2014;;France;Sport;;beIN Media Group;Satellite,Câble,IPTV;Non;;
Bel RTL TV;2006;2010;;Belgique;Musique;;RTL Belgium;IPTV;Oui;
Berbère Télévision;2000;;;France;Généraliste;Berbère Télévision;ADSL,Câble,Satellite;Oui;Chaîne communautaire francophone. Source : KingOfSat;
Best Direct;2002;2015;;France;Téléachat;Best Direct;Câble,Satellite,IPTV;Oui;Source : KingOfSat, TéléSatellite;
Best of Shopping;2010;;;France;Téléachat;;Home Shopping Service;TNT locale,Câble,Satellite,IPTV;Oui;
BET;1980;;;États-Unis;Divertissement;;Paramount;Satellite,Câble,IPTV;Non;Version internationale distribuée en France
BET France;17/11/2015;;;France;Divertissement;Culture afro-américaine;Paramount;Câble,Satellite,IPTV;Non;
Beur TV;01/04/2003;;;France;Généraliste;Beur TV;ADSL,Câble,Satellite;Oui;Chaîne communautaire francophone. Source : KingOfSat;
BFM Business;22/11/2010;;France;Économie;Actualité économique;RMC BFM;TNT (IDF),Câble,Satellite,IPTV;Oui;;
BFM TV;28/11/2005;;France;Information;Information continue;RMC BFM;TNT,Câble,Satellite,IPTV;Oui;;
Boomerang;23/04/2003;;;France;Jeunesse;Animation;Warner Bros. Discovery;Câble,Satellite,IPTV;Non;
Boomerang +1;2008;2015;;France;Jeunesse;Animation;Warner Bros. Discovery;Câble,Satellite;Non;
Boomerang +1 HD;2011;2015;;France;Jeunesse;Animation;Warner Bros. Discovery;Satellite;Non;Nom technique à supprimer en v1.0 ?
Boomerang HD;2010;2015;;France;Jeunesse;Animation;Warner Bros. Discovery;Câble,Satellite;Non;Nom technique à supprimer en v1.0 ?
Boomerang Junior;2009;2011;;France;Jeunesse;Préscolaire;Warner Bros. Discovery;IPTV;Non;
Brava HDTV;2008;;;France;Culture;Brava Media;ADSL,Câble,IPTV;Non;Version française disponible. Source : Univers Freebox, KingOfSat;
BX1;20/07/1985;;;Belgique;Locale;Bruxelles;BX1;Câble,IPTV;Oui;À supprimer en v1.0 selon nos règles (chaîne locale)
C Music TV;15/10/2007;;;France;Musique;C Music Entertainment;Câble,Satellite,IPTV;Non;Version francophone distribuée en France. Source : KingOfSat;
Campagnes TV;2017;;France;Découverte;Monde rural;Campagnes TV;Satellite,IPTV;Non;;
Canal 15;Chaîne locale/distribution spécifique des débuts du câble. À vérifier si tu souhaites conserver ce type de chaîne.;Wikipédia;;;;;;;;
Canal Académie;2005;2021;;France;Culture;Éducation;Institut de France;IPTV;Oui;Chaîne IP uniquement
Canal Alpha;1987;;;Suisse;Régionale;;Canal Alpha;Câble,IPTV;Oui;À supprimer en v1.0 (chaîne régionale)
Canal Club;2000;2001;;France;Musique;Groupe Canal+;Satellite;Non;Chaîne musicale éphémère diffusée sur CanalSatellite.;Wiki CSAT
Canal Horizons;04/09/1991;30/06/2018;;France;Généraliste;International;Groupe Canal+;Satellite;Non;À vérifier selon le périmètre (diffusion principalement Afrique)
Canal J;23/04/1985;;;France;Jeunesse;;Groupe Canal+ (Lagardère jusqu'en 2013);Câble,Satellite,IPTV;Non;
Canal J Afrique;15/06/2012;;;France;Jeunesse;;Lagardère Active;Satellite;Non;À supprimer en v1.0 (version africaine)
Canal Jimmy;29/11/1990;;;France;Divertissement;Séries;MultiThématiques (1990-2014), Groupe Canal+ (2014-2023);Câble,Satellite,IPTV;Non;À fusionner avec Jimmy
Canal PMU;2001;2011;;France;Sport;Paris hippiques;PMU;Satellite,IPTV;Oui;
Canal Satellite;;;;;;;;;;
Canal Téléréalité;;;;France;Divertissement;Groupe Canal+;Satellite;Non;Chaîne événementielle consacrée à la téléréalité.;Wiki CSAT
Canal Vert;1996;1998;;France;Services;Promotion;CanalSatellite;Satellite;Oui;Chaîne promotionnelle
Canal Z;22/05/1999;;;Belgique;Économie;;Mediafin;Câble,Satellite,IPTV;Oui;Version francophone
Canal+;04/11/1984;;;France;Généraliste;;Groupe Canal+;Hertzien,TNT,Câble,Satellite,IPTV;Non;Chaîne payante avec plages en clair
Canal+ 24/24;15/11/1991;30/08/1998;;France;Généraliste;;Groupe Canal+;Câble;Non;Diffusion intégrale de Canal+ sur le câble
Canal+ Bleu;31/08/1998;01/11/2003;;France;Cinéma;;Groupe Canal+;Satellite,Câble;Non;Canal multiplex
Canal+ Box Office;08/02/2023;;France;Cinéma;;Groupe Canal+;Satellite,Câble,IPTV;Non;;
Canal+ Cinéma;27/04/1996;07/02/2023;;France;Cinéma;;Groupe Canal+;Satellite,Câble,IPTV;Non;Devient Canal+ Cinéma(s)
Canal+ Cinéma(s);08/02/2023;;Canal+ Cinéma;France;Cinéma;;Groupe Canal+;Satellite,Câble,IPTV;Non;
Canal+ Confort;02/11/2003;20/08/2005;;France;Cinéma;;Groupe Canal+;Satellite,Câble;Non;
Canal+ Docs;08/02/2023;;France;Documentaire;;Groupe Canal+;Satellite,Câble,IPTV;Non;;
Canal+ Décalé;31/08/2003;;France;Généraliste;;Groupe Canal+;Satellite,Câble,IPTV;Non;;
Canal+ Family;20/08/2007;31/08/2021;;France;Jeunesse;Familiale;Groupe Canal+;Satellite,Câble,IPTV;Non;
Canal+ Foot;31/08/2022;;;France;Sport;Football;Groupe Canal+;Satellite,Câble,IPTV;Non;
Canal+ Grand Écran;08/02/2023;;France;Cinéma;;Groupe Canal+;Satellite,Câble,IPTV;Non;;
Canal+ Hi-Tech;Chaîne thématique du bouquet Canal+ consacrée aux nouvelles technologies.;Wikipédia;;;;;;;;
Canal+ Jaune;31/08/1998;01/11/2003;;France;Cinéma;;Groupe Canal+;Satellite,Câble;Non;Canal multiplex
Canal+ Kids;08/02/2023;;France;Jeunesse;;Groupe Canal+;Satellite,Câble,IPTV;Non;;
Canal+ Live;08/02/2023;;France;Événementielle;;Groupe Canal+;Satellite,Câble,IPTV;Non;;
Canal+ Premier League;11/08/2022;31/08/2022;;France;Sport;Football;Groupe Canal+;Satellite,Câble,IPTV;Non;Chaîne événementielle créée pour le lancement des droits de Premier League
Canal+ Sport;01/11/2003;31/08/2022;;France;Sport;;Groupe Canal+;Satellite,Câble,IPTV;Non;Devient Canal+ Sport 360
Canal+ Sport 360;31/08/2022;;Canal+ Sport;France;Sport;;Groupe Canal+;Satellite,Câble,IPTV;Non;
Canal+ Séries;21/09/2013;;;France;Séries;;Groupe Canal+;Satellite,Câble,IPTV;Non;
Canal+ Vert;31/08/1998;01/11/2003;;France;Cinéma;;Groupe Canal+;Satellite,Câble;Non;Canal multiplex
Canal+ Weekend;04/09/2021;;;France;Généraliste;;Groupe Canal+;Satellite,Câble,IPTV;Non;Déclinaison axée sur les programmes du week-end
Canal+ Événement;2004;;;France;Événementielle;;Groupe Canal+;Satellite,Câble,IPTV;Non;Chaîne événementielle utilisée pour les programmes spéciaux
CanalFoot 98;1998;1998;;France;Sport;Canal+;Satellite;Non;Chaîne événementielle consacrée à la Coupe du monde 1998.;Wiki CSAT
CanalSatellite Info;1997;2005;;France;Services;Information;CanalSatellite;Satellite;Oui;
CanalSatellite Magazine;1998;2003;;France;Services;CanalSatellite;Satellite;Oui;Chaîne de service présentant les nouveautés du bouquet;
CanalSatellite Promo;1999;;;France;Services;CanalSatellite;Satellite;Oui;Chaîne promotionnelle du bouquet.;Wiki CSAT
Carac TV;2014;;;Suisse;Divertissement;;Carac;IPTV;Oui;
Cartoon Network;17/09/1993;;;France;Jeunesse;Animation;Warner Bros. Discovery;Câble,Satellite,IPTV;Non;
Cartoonito;03/04/2023;;;France;Jeunesse;Préscolaire;Warner Bros. Discovery;Câble,Satellite,IPTV;Non;
Cash TVi;;;;France;Jeux;NewScreens;Satellite;Oui;Déclinaison interactive de Cash TV.;Wiki CSAT
CFoot;Chaîne de la Ligue de Football Professionnel (2011-2012).;Wikipédia;;;;;;;;
chaine;date_creation;date_fin;predecesseur;pays;categorie;sous_categorie;groupe;diffusion;gratuite;observations
Chamber TV;2001;;;Luxembourg;Institutionnelle;Parlement;Chambre des députés du Luxembourg;IPTV;Oui;
Chasse et Pêche;13/05/1996;;;France;Nature;Chasse et pêche;AB Groupe (1996-2017), Mediawan Thematics (2017-);Câble,Satellite,IPTV;Non;
Cinaps TV;2007;2011;;France;Culture;Cinaps TV;ADSL;Oui;Source : Univers Freebox;
Ciné Cinéfil;1992;26/04/1996;;France;Cinéma;Canal+;Satellite analogique;Non;;
Ciné Classics;26/04/1996;26/08/2011;Ciné Cinéfil;France;Cinéma;MultiThématiques;Câble,Satellite,IPTV;Non;Devient Ciné+ Classic;
Ciné FX;01/07/1998;;;France;Cinéma;Fantastique;Mediawan Thematics;Câble,Satellite,IPTV;Non;
Ciné Info;1997;2004;;France;Information;Cinéma;CanalSatellite;Satellite;Oui;Chaîne d'information cinéma
Ciné+ Classic;30/08/2011;;CinéCinémas Classic;France;Cinéma;;Groupe Canal+;Satellite,Câble,IPTV;Non;
Ciné+ Club;30/08/2011;;CinéCinémas Auteur;France;Cinéma;;Groupe Canal+;Satellite,Câble,IPTV;Non;
Ciné+ Family;27/08/2011;08/04/2024;CinéCinémas Star;France;Cinéma;Familial;Groupe Canal+;Câble,Satellite,IPTV;Non;
Ciné+ Famiz;30/08/2011;;CinéCinémas Famiz;France;Cinéma;;Groupe Canal+;Satellite,Câble,IPTV;Non;
Ciné+ Festival;27/08/2011;08/04/2024;;France;Cinéma;Festival;Groupe Canal+;Câble,Satellite,IPTV;Non;
Ciné+ Frisson;30/08/2011;;CinéCinémas Frisson;France;Cinéma;;Groupe Canal+;Satellite,Câble,IPTV;Non;
Ciné+ OCS;09/04/2024;;;France;Cinéma;;Groupe Canal+;Câble,Satellite,IPTV;Non;
Ciné+ Premier;30/08/2011;;CinéCinémas Premier;France;Cinéma;;Groupe Canal+;Satellite,Câble,IPTV;Non;
Ciné+ Émotion;30/08/2011;;CinéCinémas Émotion;France;Cinéma;;Groupe Canal+;Satellite,Câble,IPTV;Non;
CinéCinéma Info;2004;;;France;Services;MultiThématiques;Satellite;Oui;Chaîne de service du bouquet CinéCinéma.;Wiki CSAT
CinéCinémas;27/04/1996;29/08/2011;;France;Cinéma;;Groupe Canal+;Satellite,Câble;Non;Marque regroupant plusieurs chaînes
CinéCinémas Auteur;27/04/1996;29/08/2011;;France;Cinéma;;Groupe Canal+;Satellite,Câble;Non;Devient Ciné+ Club
CinéCinémas Classic;27/04/1996;29/08/2011;;France;Cinéma;;Groupe Canal+;Satellite,Câble;Non;Devient Ciné+ Classic
CinéCinémas Famiz;27/04/1996;29/08/2011;;France;Cinéma;;Groupe Canal+;Satellite,Câble;Non;Devient Ciné+ Famiz
CinéCinémas Frisson;27/04/1996;29/08/2011;;France;Cinéma;;Groupe Canal+;Satellite,Câble;Non;Devient Ciné+ Frisson
CinéCinémas Premier;27/04/1996;29/08/2011;;France;Cinéma;;Groupe Canal+;Satellite,Câble;Non;Devient Ciné+ Premier
CinéCinémas Star;26/04/1996;26/08/2011;;France;Cinéma;Grands succès;MultiThématiques;Câble,Satellite,IPTV;Non;
CinéCinémas Émotion;27/04/1996;29/08/2011;;France;Cinéma;;Groupe Canal+;Satellite,Câble;Non;Devient Ciné+ Émotion
Cinéculte;12/12/1996;26/08/2007;;France;Cinéma;TPS;Satellite;Non;;
Cinéfamily;12/12/1996;26/08/2007;;France;Cinéma;TPS;Satellite;Non;;
Cinéstar 1;12/12/1996;26/08/2007;;France;Cinéma;TPS;Satellite;Non;;
Cinéstar 2;12/12/1996;26/08/2007;;France;Cinéma;TPS;Satellite;Non;;
Cinéstar 3;30/08/2003;26/08/2007;;France;Cinéma;TPS;Satellite;Non;;
Cinétoile;12/12/1996;26/08/2007;;France;Cinéma;TPS;Satellite;Non;;
Club RTL;24/09/1995;;;Belgique;Généraliste;;RTL Belgium;Câble,Satellite,IPTV;Oui;
Club Téléachat;1988;2001;;France;Téléachat;Club Téléachat;Câble,Satellite;Oui;Source : archives presse, Télécâble Sat Hebdo;
Clubbing TV;2007;;;France;Musique;Électro;Clubbing TV SA;Câble,Satellite,IPTV;Non;
CNBC Europe;1989;;;Royaume-Uni;Économie;Information;NBCUniversal;Satellite,Câble,IPTV;Non;Version internationale distribuée en France
CNews;27/02/2017;;i>Télé;France;Information;Information continue;Groupe Canal+;TNT,Câble,Satellite,IPTV;Oui;
Comédie !;29/04/1997;31/08/2003;;France;Divertissement;Humour;Groupe Canal+;Câble,Satellite;Non;
Comédie+;01/09/2003;;Comédie !;France;Divertissement;Humour;Groupe Canal+;Câble,Satellite,IPTV;Non;
Contact TV;1997;1998;;France;Services;Contact TV;Satellite;Oui;Source : Wiki CSAT (12/1997);
Crime District;13/12/2019;;;France;Documentaire;Faits divers;Mediawan Thematics;Câble,Satellite,IPTV;Non;
Cuisine TV;08/09/2001;02/11/2011;;France;Art de vivre;Cuisine;MultiThématiques;Câble,Satellite,IPTV;Non;Devient Cuisine+
Cuisine+;26/06/2001;26/06/2015;;France;Art de vivre;Cuisine;Groupe Canal+;Câble,Satellite,IPTV;Non;Devient CuisineAZ TV
Célà TV;Chaîne généraliste privée destinée à l'Afrique francophone, éditée depuis la France.;Wikipédia;;;;;;;;
Demain !;31/03/1997;30/06/2004;;France;Économie;Emploi;GIE Demain !;Câble,Satellite;Oui;
Demain IDF;2007;2013;;France;Société;Demain IDF;ADSL;Oui;Source : Univers Freebox;
Demain TV;Succède à Demain ! (historique à consolider en V1).;Wikipédia;;;;;;;;
Den 2. RTL;2004;2020;;Luxembourg;Généraliste;;RTL Luxembourg;TNT,Câble,IPTV;Oui;
Deuxième chaîne de l'ORTF;25/07/1964;07/01/1975;;France;Généraliste;;ORTF;Hertzien;Oui;Devient Antenne 2
Direct 8;31/03/2005;;;France;Généraliste;Groupe Bolloré (2005-2012), Groupe Canal+ (2012-);TNT,Câble,Satellite,IPTV;Oui;;
Discovery Channel;1999;;France;Documentaire;;Warner Bros. Discovery;Câble,Satellite,IPTV;Non;;
Discovery Investigation;2009;;France;Documentaire;Faits divers;Warner Bros. Discovery;Câble,Satellite,IPTV;Non;;
Discovery Science;2000;;France;Documentaire;Sciences;Warner Bros. Discovery;Câble,Satellite,IPTV;Non;;
Discovery Turbo;2006;2024;;France;Découverte;Automobile;Warner Bros. Discovery;Câble,Satellite,IPTV;Non;
Disney Channel;22/03/1997;;;France;Jeunesse;;The Walt Disney Company;Câble,Satellite,IPTV;Non;
Disney Channel +1;01/04/2002;;;France;Jeunesse;;The Walt Disney Company;Câble,Satellite,IPTV;Non;Version décalée d'une heure
Disney Channel Pop Pick;2003;2007;;France;Jeunesse;Animation;The Walt Disney Company;Câble,Satellite;Non;Chaîne événementielle, à vérifier
Disney Cinema;09/05/2015;31/03/2020;Disney Cinemagic;France;Cinéma;Jeunesse;The Walt Disney Company;Câble,Satellite,IPTV;Non;
Disney Cinemagic;30/09/2007;08/05/2015;;France;Cinéma;Jeunesse;The Walt Disney Company;Câble,Satellite,IPTV;Non;
Disney Junior;27/05/2011;31/03/2020;Playhouse Disney;France;Jeunesse;Préscolaire;The Walt Disney Company;Câble,Satellite,IPTV;Non;
Disney Junior +1;2011;;;France;Jeunesse;Préscolaire;The Walt Disney Company;Câble,Satellite;Non;À supprimer en v1.0 (timeshift)
Disney Nature TV;2012;2015;;France;Nature;;The Walt Disney Company;IPTV;Non;Diffusion limitée
Disney XD;01/04/2009;01/04/2020;Jetix;France;Jeunesse;;The Walt Disney Company;Câble,Satellite,IPTV;Non;
Disney XD +1;2009;2020;;France;Jeunesse;Animation;The Walt Disney Company;Câble,Satellite;Non;À supprimer en v1.0 (timeshift)
DocuBox;2011;;;Luxembourg;Documentaire;;SPI International;Câble,Satellite,IPTV;Non;
DreamWorks Channel;2015;;;France;Jeunesse;Animation;NBCUniversal;Câble,Satellite,IPTV;Non;
Drive In Movie Channel;13/02/2015;;;France;Cinéma;;Mediawan Thematics;Câble,Satellite,IPTV;Non;
Drive-in Movie Channel;2006;2016;;France;Cinéma;Patrimoine;Drive-in Movie Channel;Câble,Satellite,IPTV;Non;
Du côté de chez vous TV;;;;France;Art de vivre;Communication et Programme International;Satellite,Câble;Non;;Wiki CSAT
E! Entertainment;2004;31/12/2022;;France;Divertissement;People;NBCUniversal;Câble,Satellite,IPTV;Non;
Elle Girl TV;20/09/2001;31/08/2006;;France;Divertissement;Féminine;Lagardère Active;Câble,Satellite;Non;
Encyclo;30/06/2007;31/08/2018;Encyclopédia;France;Documentaire;Sciences;AB Groupe (2007-2017), Mediawan Thematics (2017-2018);Câble,Satellite,IPTV;Non;
Encyclopedia;16/12/1997;30/04/2001;;France;Documentaire;;AB Groupe;Câble,Satellite;Non;Devient Escales
Encyclopédia;13/01/1997;29/06/2007;;France;Documentaire;Sciences;AB Groupe;Câble,Satellite;Non;Devient Encyclo
Equidia;20/08/1996;31/08/2018;;France;Sport;Hippisme;PMU;Câble,Satellite,IPTV;Non;Scindée en Equidia Live et Equidia Life
Equidia Life;01/09/2018;31/12/2019;Equidia;France;Sport;Hippisme;PMU;Câble,Satellite,IPTV;Non;
Equidia Live;01/09/2018;;Equidia;France;Sport;Hippisme;PMU;Câble,Satellite,IPTV;Non;
ES1;10/01/2018;31/12/2023;;France;Sport;eSport;Webedia;IPTV,Fibre;Non;
Escales;01/05/2001;30/12/2011;Encyclopedia;France;Découverte;Voyage;AB Groupe;Câble,Satellite,IPTV;Non;
Eurochannel;1994;;;France;Cinéma;Cinéma européen;Eurochannel;Câble,Satellite,IPTV;Non;
Euronews;01/01/1993;;France;Information;Information internationale;Euronews SA;Câble,Satellite,IPTV;Oui;Version française;
Europe 2 TV;17/10/2005;30/10/2005;;France;Musique;;Lagardère Active;TNT,Câble,Satellite,IPTV;Oui;
Euroshopping;1988;2008;;France;Téléachat;;M6 / HSS;Hertzien,Câble;Oui;
Eurosport 2;10/01/2005;;France;Sport;;Warner Bros. Discovery;Câble,Satellite,IPTV;Non;;
Eurosport France;01/09/1993;;France;Sport;;Eurosport (1993-2015), Discovery (2015-2022), Warner Bros. Discovery (2022-);Câble,Satellite,IPTV;Non;Version française d'Eurosport;
Evasions;02/04/1996;2007;;France;Documentaire;AB Groupe;Câble,Satellite;Non;Devient ensuite Escales;
Extreme Sports Channel;01/05/1999;;Royaume-Uni;Sport;Sports extrêmes;AMC Networks;Câble,Satellite,IPTV;Non;Version française;
Fandom;;;;;;;;;;
Fashion TV Paris;1997;;;France;Mode;;Fashion TV;Satellite,Câble,IPTV;Non;
FashionBox;2012;;;Luxembourg;Mode;;SPI International;Câble,Satellite,IPTV;Non;
Fast&FunBox;2012;;;Luxembourg;Sport;Sports extrêmes;SPI International;Câble,Satellite,IPTV;Non;
Fernsehsender Paris;07/05/1943;12/08/1944;;France;Généraliste;;Allemagne;Hertzien;Oui;Chaîne exploitée pendant l'Occupation
Festival;24/06/1996;30/03/2005;;France;Culture;;France Télévisions;Câble,Satellite,TNT,IPTV;Oui;
FightBox;2012;;;Luxembourg;Sport;Sports de combat;SPI International;Câble,Satellite,IPTV;Non;
Filles TV;01/09/2006;22/11/2009;;France;Divertissement;Féminine;Lagardère Active;Câble,Satellite,IPTV;Non;
Foot School TV;2005;2011;;France;Sport;Football;Foot School TV;Satellite,ADSL;Non;
Foot+;27/08/1999;;France;Sport;Football;Groupe Canal+;Satellite,Câble,IPTV;Non;Lancée sous le nom Multivision Foot;
Forum Planète;1997;2004;;France;Services;MultiThématiques;Satellite;Oui;Chaîne de présentation des programmes Planète. Source : Wiki CSAT (12/1997);
Fox;05/10/2008;30/06/2020;;France;Séries;;Fox Networks Group (2008-2019), The Walt Disney Company (2019-2020);Câble,Satellite,IPTV;Non;
Fox Kids;01/11/1998;31/12/2004;;France;Jeunesse;;Fox Family Worldwide;Câble,Satellite;Non;Devient Jetix
Fox Life;01/10/2004;31/12/2017;;France;Séries;Divertissement;Fox Networks Group;Câble,Satellite,IPTV;Non;
FR3;06/01/1975;06/09/1992;Troisième chaîne couleur;France;Généraliste;;France Télévisions;Hertzien,TNT,Câble,Satellite,IPTV;Oui;
France 2;07/09/1992;;Antenne 2;France;Généraliste;;France Télévisions;Hertzien,TNT,Câble,Satellite,IPTV;Oui;
chaine;date_creation;date_fin;predecesseur;pays;categorie;groupe;diffusion;gratuite;observations;source_principale
France 24;06/12/2006;;France;Information;Information internationale;Satellite,Câble,IPTV,TNT;Oui;Version française;;
France 24 Arabic;02/04/2010;;France;Information;Internationale;Satellite,IPTV;Oui;;;
France 24 English;06/12/2006;;France;Information;Internationale;Satellite,IPTV;Oui;;;
France 3;07/09/1992;;FR3;France;Généraliste;France Télévisions;Hertzien,TNT,Câble,Satellite,IPTV;Oui;;
France 4;31/03/2005;;Festival;France;Généraliste;France Télévisions;TNT,Câble,Satellite,IPTV;Oui;;
France 5;07/01/2002;;La Cinquième;France;Culture;France Télévisions;Hertzien,TNT,Câble,Satellite,IPTV;Oui;;
France Courses;1996;2001;;France;Sport;Satellite,Câble;Non;Chaîne consacrée aux courses hippiques.;Wiki CSAT;
France Info;01/06/2016;31/08/2016;;France;Information;France Télévisions;TNT;Oui;Nom utilisé avant l'adoption officielle de franceinfo:;
France Ô;25/02/2005;24/08/2020;RFO Sat;France;Généraliste;France Télévisions;Satellite,TNT,IPTV;Oui;;
franceinfo:;01/09/2016;;;France;Information;France Télévisions;TNT,Câble,Satellite,IPTV;Oui;;
Freebox;;;;;;;;;;
Fun Radio Vision;01/09/2003;31/08/2008;Fun TV;France;Musique;Groupe M6;Câble,Satellite;Non;;
Fun TV;02/09/1997;27/08/2003;;France;Musique;Groupe M6;Câble,Satellite;Non;;
Game One;27/09/1998;;;France;Jeux vidéo;Paramount (anciennement MTV Networks);Câble,Satellite,IPTV;Non;;
Game One Music HD;15/11/2008;30/06/2018;;France;Musique;Game One;Câble,Satellite;Non;;
Girondins TV;14/08/2008;30/06/2014;;France;Sport;FC Girondins de Bordeaux;Câble,Satellite,IPTV;Non;;
Golf+;04/11/2008;;France;Sport;Golf;Satellite,Câble,IPTV;Non;;;
Gourmet TV;2001;2010;;France;Art de vivre;Câble,Satellite;Non;Chaîne consacrée à la gastronomie.;Wiki CSAT;
Histoire;01/07/1997;;;France;Histoire;Groupe TF1;Câble,Satellite,IPTV;Non;;
Histoire TV;01/10/2006;La Chaîne Histoire;France;Documentaire;TF1 (2006-2024), Groupe SECOM (2024-);Non;;;;
i>Télé;04/11/1999;26/02/2017;;France;Information;Groupe Canal+;Câble,Satellite,TNT,IPTV;Oui;Devient CNews;
IC1;Chaîne généraliste destinée aux diasporas africaines francophones, diffusée en France.;Wikipédia;;;;;;;;
iConcerts;15/10/2005;;;Luxembourg;Musique;iConcerts;Câble,Satellite,IPTV;Non;;
Ideal World;2010;2023;;France;Téléachat;Ideal Shopping Direct;Satellite,Câble,IPTV;Oui;;
Infosport;15/03/1998;13/01/2023;;France;Sport;Groupe Canal+;Câble,Satellite,IPTV;Non;Devient Canal+ Sport 360 Info;
Infosport+;27/08/2008;12/01/2023;Infosport;France;Sport;Groupe Canal+;Câble,Satellite,IPTV;Non;;
J-One;04/10/2013;;;France;Jeunesse;SEFA Event;Câble,Satellite,IPTV;Non;;
JET;19/03/2007;31/12/2008;;France;Jeux;ADSL,IPTV;Oui;Chaîne interactive consacrée aux jeux télévisés. Source : communiqué TF1, Journal du Net;;
Jetix;01/01/2005;31/03/2009;Fox Kids;France;Jeunesse;The Walt Disney Company;Câble,Satellite,IPTV;Non;Devient Disney XD;
Jimmy;29/04/1990;;France;Séries;;Câble,Satellite,IPTV;Non;;;
June;23/11/2009;08/01/2013;Filles TV;France;Divertissement;Lagardère Active;Câble,Satellite,IPTV;Non;;
KidsCo;2007;2014;;France;Jeunesse;KidsCo;Câble,Satellite,IPTV;Non;;
Kiosque;1997;2011;;France;Cinéma;Groupe Canal+;Satellite;Non;À discuter : chaîne ou service PPV;
